tconst,name,disability
tt0097937,My Left Foot,Cerebral Palsy
tt0095953,Rain Man,Autism Spectrum Disorder
tt0268978,A Beautiful Mind,Schizophrenia
tt2980516,The Theory of Everything,ALS (Amyotrophic Lateral Sclerosis)
tt0109830,Forrest Gump,Intellectual Disability
tt0350258,Ray,Blindness
tt0090830,Children of a Lesser God,Deafness
tt0401383,The Diving Bell and the Butterfly,Locked-in Syndrome
tt0277027,I Am Sam,Intellectual Disability
tt0056241,The Miracle Worker,Blindness;Deafness
tt1866249,The Sessions,Polio
tt1278469,Temple Grandin,Autism Spectrum Disorder
tt0096969,Born on the Fourth of July,Paraplegia due to combat injury
tt1675434,The Intouchables,Quadriplegia
tt0108550,What's Eating Gilbert Grape,Autism Spectrum Disorder
tt0105323,Scent of a Woman,Blindness
tt0124879,Simon Birch,Dwarfism
tt0417791,Inside I'm Dancing,Cerebral Palsy
tt0089560,Mask,Craniodiaphyseal dysplasia
tt0080678,The Elephant Man,Severe physical deformities
tt0077362,Coming Home,Paraplegia
tt0099077,Awakenings,Encephalitis lethargica
tt0107822,The Piano,Mutism
tt0036868,The Best Years of Our Lives,Amputation;PTSD
tt2674426,Me Before You,Quadriplegia
tt3316960,Still Alice,Alzheimer's Disease
tt0369702,The Sea Inside,Quadriplegia
tt1188996,My Name Is Khan,Asperger's Syndrome
tt0168629,Dancer in the Dark,Progressive blindness
tt2582846,The Fault in Our Stars,Cancer
tt6644200,A Quiet Place,Deafness
tt2543472,Wonder,Treacher Collins syndrome
tt2929690,Margarita with a Straw,Cerebral Palsy
tt6217608,The Rider,Brain injury
tt4364194,The Peanut Butter Falcon,Down syndrome
tt0274468,Door to Door,Cerebral Palsy
tt0245574,Y Tu Mamá También,Terminal illness
tt1987680,The Upside,Quadriplegia
tt6288124,Don't Worry  He Won't Get Far on Foot, Quadriplegia
tt3881784,Stronger,Amputation
tt0427470,The Lookout,Brain injury
tt0040495,Johnny Belinda,Deafness;mutism
tt0436613,Murderball,Quadriplegia
tt1542344,127 Hours,Amputation
tt0405159,Million Dollar Baby,Quadriplegia
tt2452386,The Fundamentals of Caring,Duchenne muscular dystrophy
tt5439796,Breath,Paralysis
tt0417791,Rory O'Shea Was Here,Muscular dystrophy;Cerebral Palsy
tt0042727,The Men,Paraplegia
tt2296697,Touch of the Light,Blindness
tt0340377,The Station Agent,Dwarfism
tt1675434,Untouchable,Quadriplegia
tt0287978,Daredevil,Blindness
tt0338751,The Aviator,OCD (Obsessive Compulsive Disorder)
tt4547194,Helen Keller vs. Nightwolves,Blindness;deafness
tt2248729,Life Feels Good,Cerebral Palsy
tt3442006,Cake,Chronic pain
tt0108071,The Secret Garden,Spinal problem
tt0105789,The Waterdance,Paraplegia
tt0132512,At First Sight,Blindness
tt0050105,An Affair to Remember,Paralysis
tt0062467,Wait Until Dark,Blindness
tt5716464,Breathe,Polio
tt0386751,Dirty Filthy Love,OCD;Tourette's Syndrome
tt0100442,Q&A,Deafness
tt0062794,Charly,Intellectual Disability
tt0055892,David and Lisa,Mental illness
tt0106387,Benny & Joon,Mental illness
tt5363618,The Sound of Metal,Hearing loss
tt2547584,The Light Between Oceans,Miscarriage;emotional trauma
tt2305051,Wild,PTSD;addiction
tt0289879,The Butterfly Effect,Memory gaps;mental health issues
tt1045658,Silver Linings Playbook,Bipolar disorder
tt0821642,The Soloist,Schizophrenia
tt1185836,Adam,Asperger Syndrome
tt0448124,Snow Cake, autism
